date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:48	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:47%20GMT	http://acrotel/images/sitemap/bg_tit1.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/sitemap/bg_tit1.gif	(from http://acrotel/common/css/content.css?v=20211231074105)
19:42:48	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:48%20GMT	http://acrotel/images/sustainability/ico7_1_1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/sustainability/ico7_1_1.png	(from http://acrotel/common/css/board.css?v=20211231074105)
19:42:48	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:48%20GMT	http://acrotel/images/common/ico/bg_tit1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/bg_tit1.png	(from http://acrotel/common/css/board.css?v=20211231074105)
19:42:48	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:48%20GMT	http://acrotel/images/common/ico/ico_home2.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_home2.png	(from http://acrotel/common/css/board.css?v=20211231074105)
19:42:49	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:48%20GMT	http://acrotel/images/common/ico/ico_back1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_back1.png	(from http://acrotel/common/css/board.css?v=20211231074105)
19:42:49	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:48%20GMT	http://acrotel/images/common/ico/ico_qna1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_qna1.png	(from http://acrotel/common/css/board.css?v=20211231074105)
19:42:49	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:49%20GMT	http://acrotel/images/common/ico/bg_line1.png	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/bg_line1.png	(from http://acrotel/common/css/board.css?v=20211231074105)
19:42:49	219/219	---MC-	302	error ('Found')	text/html	date:Fri,%2031%20Dec%202021%2010:42:49%20GMT	http://acrotel/images/common/ico/ico_loding.gif	C:/My%20Web%20Sites/acrotel/acrotel/images/common/ico/ico_loding.gif	(from http://acrotel/common/css/board.css?v=20211231074105)
19:42:50	15319/15319	---MCZ	200	added ('OK')	text/css	etag:W/%22455426d-3bd7-6196f5e7%22	http://acrotel/common/css/base.css?v=20211231074236	C:/My%20Web%20Sites/acrotel/acrotel/common/css/base9139.css	(from http://acrotel/board/delete.php?page=2&board_id=press&search_type=&search_word=&idx=)
19:42:50	1809/1809	---MCZ	200	added ('OK')	text/css	etag:W/%22455426b-711-6153b4a9%22	http://acrotel/common/css/layout.css?v=20211231074236	C:/My%20Web%20Sites/acrotel/acrotel/common/css/layout9139.css	(from http://acrotel/board/delete.php?page=2&board_id=press&search_type=&search_word=&idx=)
19:42:50	39271/39271	---MCZ	200	added ('OK')	text/css	etag:W/%224554273-9967-61b2bc77%22	http://acrotel/common/css/content.css?v=20211231074236	C:/My%20Web%20Sites/acrotel/acrotel/common/css/content9139.css	(from http://acrotel/board/delete.php?page=2&board_id=press&search_type=&search_word=&idx=)
